,questions,Answers
54,1.25 to 2% (max) in feed Magnesium 300-400 mg/L in water and 0.2% in feed. Potassium 150-200 mg/L in water and 0.5 to 1% in feed Sodium 0.5% in feed Phosphorous 1 to 1.5% in feed Chlorine Depends on the salinity of the water 55. How do the open and ground waters from the coastal and inland areas differ in mineral composition?,"Mineral composition in open source waters from coastal areas is mainly dependent on water salinity. For example, Ca, Mg and Na are more in saline waters compared to low saline waters. The composition of underground bore-well waters depends on the location of the bore well and the depth from which water is extracted. For example, bore wells in coastal areas are fresh/low saline to high saline in nature. Recently shrimp farming has spread to inland saline arid and semi-arid regions of the country viz., Haryana and Rajasthan with the use of ground water. These waters are deficient in K and Mg unlike coastal ground waters."
55,"56. Whether water source has a role in the availability of minerals like bore water, creek water, sea water etc?","yes. The sea/brackishwater has adequate quantity of minerals. In case of low saline waters, they are relatively low in amount, hence require external supplementation. The minerals in 16 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming the pond water have certain key functions and contribute for the survival and growth. Among the minerals, calcium, magnesium and potassium are important for P. vannamei shrimp. The P. vannamei require calcium, magnesium and potassium in a ratio of 1:3:1 which is the ratio in sea water. We have to maintain this ratio in the low saline waters by adding the minerals externally. The minimum requirements of these minerals at 1 ppt salinity are given below and we need to multiply with the pond salinity. Water quality test report Minerals Required level in Required level Required level Required level 1 ppt salinity in 5 ppt salinity in 10 ppt salinity in 15 ppt salinity Calcium (mg/L)"
56,11.6 58.0 116.0 174.0 Magnesium (mg/L) 39.1 195.5 391.0 586.5 Potassium (mg/L) 10.7 53.5 107.0 160.5 57. Do brackishwater ponds require mineral supplementation?,"Test the brackishwater pond water for minerals and if required only, one should add minerals. Normally brackishwater has enough amounts of minerals and may not require mineral supplementation."
57,58. Do you think that the mineral composition changes as per the salinity?,yes. The mineral composition changes as per the source water. generally the sea water and brackishwater bodies have adequate amount of required minerals in required proportion (ratios). The inland waters do not have the required level of minerals in right proportions.
58,59. Do you feel that pond age has any influence on the availability of minerals?,Not confirmed. The investigations are in progress to test this hypothesis.
59,60. What are the important soil parameters which indicate the deteriorating conditions of the pond bottom?,"Farmers can test the shrimp pond bottom condition without any laboratory analysis. The bottom soil can be scooped and tested for any bad smell. If there is a smell of a rotten egg, it indicates the bad condition of the soil having hydrogen sulphide. Technically the redox-potential of the soil can be measured on site which gives an indication of oxidation/reduction condition of soil. Organic carbon content of the soil can be estimated in the laboratory for the quantification of organic load accumulation on the pond bottom. Symptom of mineral deficiency"
60,61. What kind of symptoms do shrimp show which indicate mineral deficiency?,"The common symptoms of mineral deficiency are anorexia, reduced vigour, poor feed intake, shrimp body cramp/bend, at the place of cramp the muscle becomes white and juveniles Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 17 are more susceptible to ratio differences between the important minerals (Na, K, Ca & Mg). Mineral deficiency in the form of either presence of lesser amount or not in correct proportion might hamper osmo-ionic regulations and metabolic activities. The shrimp will be under stress, low feed intake, water quality deterioration and prone to manifestation of diseases."
61,62. Is high turbidity in pond waters harmful to shrimp?,Turbidity in shrimp pond Turbidity in pond waters is generally caused by the planktonic organisms and silt particles. The planktonic turbidity is good to shrimps. The turbidity due to suspended silt particles is harmful and undesirable for a healthy pond. Proper drying of pond bottom after the harvest with recommended pond preparation practices including the strengthening of dykes and provision of optimum aeration minimizes the eroding of soil particles and reduced turbidity.
62,63. Whether pH and minerals are associated?,At what pH are the essential minerals available at a maximum level? The mineral composition and pH are related. At neutral to slightly alkaline pH (between 7 to
63,"7.5) the availability of P, Ca, K and Mg is maximum and functions of the mineral nutrients are also adequate. The micro nutrients whose requirements are very small are also available at a higher pH though their availability is more at low pH. 64. Whether water temperature has any role in the availability and functions of essential minerals?",The optimum temperature for P. vannamei is 280C to 320C. Continued high or lower temperature vis-à-vis the optimum level negatively affects the metabolic activity of the shrimp and their growth is disturbed. Higher temperature increases the salinity of the water evaporation of pond water and thus indirectly increases the mineral composition.
64,65. On what basis one should apply mineral nutrients in P. vannamei pond?,"Shrimp farmers need to test their shrimp pond water once in 10-15 days for their mineral profile and if required, they should apply minerals in an appropriate form based on the composition of the mineral salt. Mineral nutrients are to be supplemented only when there is a deficiency. The compositions of minerals in the inorganic fertilizers are given in the Table. Water quality analysis report 18 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming Properties of mineral salts for use in aquaculture Mineral Salt Formula Common Name Typical Composition 22% Ca; 53% SO ; 4 Calcium sulphate CaSO 2H 0 gypsum 4 2 55% hardness Potassium chloride KCl Muriate of Potash 50% K; 45% Cl Potassium magnesium"
65,"17.8% K ; 10.5% Mg; K SO 2MgSO K-mag sulphate 2 4 4 63.6% SO 4 Potassium sulphate K SO ------ 41.5% K; 50.9% SO 2 4 4 Magnesium sulphate MgSO 7H 0 Epsom salt 10% Mg; 39% SO heptahydrate 4 2 4 Rock salt, 39% Na; 61% Cl; 98% Sodium chloride NaCl Salinity mine run salt To calculate the dose rate of mineral salt for a desired concentration of any one of the variables listed in the last column, use the following equation: Dose (g/m3) = Desired concentration of variable (mg/L) ÷ Percentage variable in salt/100 For example, if you want to use muriate of potash to increase potassium concentration by 25 mg/L: Dose of muriate of potash = 25 mg K/L ÷ 50% K/100 = 50 mg/L. 66. Whether the P. vannamei require same ratio of essential minerals from post larvae to adult?",Or at what stages do it requires more/less? P. vannamei require same ratio of essential minerals from post larvae to adult.
66,67. Whether shrimp feed contains the required level of mineral nutrients which is essential for metabolic and physiological activity of the shrimp?,"Normally, a balanced shrimp feed has the required level of minerals for the metabolic activity of shrimp. Brackishwater and high saline waters have the required minerals at optimum levels, hence additional supplementation of minerals is not required. However, in case of low saline waters, additional mineral supplementation is required to raise the levels at par with the mineral composition of shrimp. Otherwise, due to osmotic pressure, the minerals and ions from the shrimp move to the water and the animal will be under stress. The stressed shrimp cannot feed properly. The uneaten feed as a waste reaches the bottom and increases the bottom metabolites. Therefore, supplementation of minerals in low saline waters is necessary mainly to keep the rearing medium at par in mineral levels to that of shrimp. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 19"
67,68. What is the osmo-ionic regulation in P. vannamei?,"Whether external supplementation of mineral is required? The shrimp lives in oceanic waters which has the optimum level of required minerals. The minerals calcium, magnesium, potassium, phosphorous, chlorine, sulphur and trace elements are essential for its exoskeleton and energy metabolism. Even though the mineral ions enter and exit through body exoskeleton and gills, the animal and the living medium are having equal concentration of minerals, the ionic composition will not change. If the rearing medium is having lower proportion of required minerals then external application of minerals is required (especially in low saline soils)."
68,69. Whether minerals in soil are as such available in water phase and available for shrimp?,"All the portions of minerals present in the soil are not bio-available. When the water is added to soil, only the water soluble portion of the particular mineral is bio-available although the total quantity of mineral is quite high. This availability may vary based on the soil characteristics also."
69,70. Whether DO level is same in all the places at different depths of the P. vannamei pond?,While measuring DO which is the correct way for measuring the DO of the pond? Dissolved Oxygen levels may vary at the surface level in the dead corners where the water circulation is not effective. As the depth increases the level of DO might be gradually decreasing. Water bottles for DO measurement are available and the water should be drawn at least two feet below surface level.
70,71. When ground water is used for topping up of shrimp pond water what parameters need to be checked?,"The mineral composition, alkalinity, hardness and iron content of the ground water are to be checked before its use. However, as per the CAA guidelines, ground water should not be used for shrimp culture."
71,72. When should a farmer apply gypsum salt?,"When should dolomite be preferred instead of agri-lime? If the alkalinity level is more than 50 ppm, calcium carbonate, application of agri-lime to increase the water hardness to the optimum level will not work. under this condition, application of gypsum (CaSO ·2H O) should be preferred. For one ha of shrimp pond, 19 4 2 kg of gypsum can enhance 1 ppm calcium carbonate."
72,73. When the rapid fluctuation in temperature/diurnal variation is high what are the parameters need to be checked?,The term diurnal more often refers to the change of temperature from the daytime high to the night time low. The important parameters to be measured are total available nitrogen and pH which are correlated with temperature. 20 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming
73,74. How does sudden heavy rain fall affect the pond condition and what needs to be done?,"During heavy rainfall, the pond water becomes acidic and the pH goes down and the plankton crashes. Therefore, lime has to be applied to enhance the pH and plankton production. During heavy rain, the shrimp may be under stress due to low temperature and change in salinity. Therefore, feeding should be checked based on the check tray and behaviour of shrimp in the pond. Water quality management during rain"
74,75. Whether aeration helps in ammonia management in the pond water?,"yes. Aeration keeps the water in motion and increases the dissolved oxygen in the pond water. Aeration may help in immobilization of ammonia and its release from the pond due to the circulation of pond water. The aerators stimulate bacterial growth and activity which consequently maintain the quality of water. Placement of aerators in the corners allows for solid accumulation in the centre of the pond, which can then be removed if a centre drain is used or will facilitate solids removal during pond drying time. Additional aerators can be placed in the middle of the pond length providing for additional oxygenation and circulation."
75,76. Some technicians opine that ammonia upto a certain level is required for shrimp growth. Is it true?,"Please give explanation. No. The technicians might have opined that nitrogen from ammonia may be useful for the growth of beneficial bacteria and phytoplankton growth. It is actually the ammoniacal form of N (NH ) which is essential for this purpose. However, ammonia beyond permissible limit is 4 toxic to the shrimp and at low level could affect the growth of shrimp."
76,77. How far are water quality testing kits in the market accurate?,"Water quality test kits cannot be 100% accurate like laboratory results. However, ± 5% deviation is allowed for field measurement to take immediate management measures. Water quality testing using kit"
77,"78. Farmers started using chemical fertilizers like Ammonium chloride/Ammonium sulphate, DAP, MOP etc. for water culture in P. vannamei farming?",Is it necessary? Application of fertilizers is mostly done in low saline P. vannamei culture. Nitrogenous fertilizers like Ammonium chloride/Ammonium sulphate are being applied to provide nitrogen for better phytoplankton production. The compound fertilizers like Di-ammonium phosphate (DAP) will provide both nitrogen and phosphorous required for the bloom development. The Murate of Potash (MOP) might be applied as a mineral nutrient to enhance the potassium content in the low Chemical fertilizers saline waters. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 21
78,79. What should be the optimal diurnal DO variation expected?,"What does it indicate if it is too high or too low and what measures need to be taken to correct the same? Diurnal variation in DO should not be too high or too low. A diurnal variation of 3 to 4 ppm is fine. If the variation is too high, then it indicates over bloom and if it is too low it shows low bloom. Accordingly, if it is high bloom carry out 10-20%water exchange. Incase low bloom, apply a dose of fermented juice or dolomite @ 40 kg/ha."
79,80. Whether shrimp pond water pH varies diurnally?,"If so what needs to be done? The pH should be monitored before dawn for the low level and in the afternoon for high level. The magnitude of diurnal fluctuation is dependent upon the density of organisms producing and consuming CO and on the buffering capacity of pond water (greater buffer capacity at 2 higher alkalinity). i.e., diurnal fluctuation of pH is not great in pond water of higher alkalinity. An alkalinity above 50 ppm CaCO is preferred in prawn/shrimp ponds. Intervention, such as 3 flushing of ponds to reduce the pH, is advisable when the magnitude of diurnal fluctuation in pH is great. Nevertheless, one should notice that the drastic fluctuation of pH would cause stress to culture organisms. Normally, it should maintain the daily fluctuation within a range of"
80,"0.5 difference. Control of pH is essential for minimizing ammonia and H S toxicity. 2 81. Whether application of jaggery for pH reduction, garlic for gut digestibility etc. really works?","It has been observed that farmers based on their Indigenous Technical Knowledge (ITK) do use jaggery which helps in reducing pH as it creates fermented condition in the pond, turmeric powder for disinfection and garlic paste for enhancing gut digestibility. It seems they are facilitating the purpose for which they are applied."
81,82. What are all the management measures required to keep the pond bottom clean and prevent its deterioration?,"Maintenance of bloom and optimum feed management are the key factors to keep the pond bottom clean. In order to prevent the deterioration of pond bottom, chain dragging is recommended from the beginning of the crop after 15 DOC It is advisable not to practice chain dragging after 60 DOC as it will create more harm. Mixing of soil probiotic HealtH management"
82,83. Whether PCR screening protocol is available for diseases other than WSSV?,"Whether screening for WSSV is necessary for P. vannamei also? yes, PCR test is available for IHHNV, MBV, HPV, TSV, yHV (Viruses), EHP and for many of the vibrios, particularly for the EMS caused by V. parahaemolyticus. Screening of P. vannamei for WSSV is necessary as non-SPF pond reared broodstocks could have been used for seed production. 22 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming"
83,84. What are all the morphological parameters/features a farmer should look to assess the health of P. vannamei shrimp?,"Farmers should always monitor the color, activity, swimming pattern, appendages, gill, gut and hepatopancreas of the shrimp. If there is an antenna cut, bacterial infection is suspected. Color change or pinkish coloration will indicate WSSV/ bacterial infection. gill choking is expected if too much plankton is there Morphological features of P. vannamei in the pond. Status of gut and hepatopancreas should be seen, if they are white in color and empty, then EMS or bacterial infection is suspected."
84,"85. Running mortality occurs after 60 DOC in culture systems on a daily basis, what could be the cause for this and how can we control this?",As of now it appears that RMS is due to high stocking density and inadequate pond preparation. Select healthy post larvae by carefully adopting the suggested screening procedures. It is preferable to stock P. vannamei in low density and give sufficient gap (3-4 weeks) between two cultures.
85,"86. What are the diseases reported in P. vannamei farming in India, their causes and management measures?","Name of the Cause(s) Symptoms Prevention/ Photograph Disease Management 1. White Spot WSSV  Reddened body  Stocking of SPF Disease  Broken antennae quality seed after PCR screening from  White spots on the the CAA approved carapace hatcheries.  Accumulation of water in  Adoption of BMPs the head portion and biosecurity  Animal becomes lethargic  Animal coming to the sides of the pond 2. Running unknown  Antennae and tail portion  Optimum stocking Mortality become red in colour density as per the Syndrome  Distinct pattern of carrying capacity of chromophores on the pond periopods.  Adoption of BMPs  Hepatopancreas become yellow or red in colour  yellowish white feaces  Regular mortality of few shrimps or few kgs per day. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 23 Name of the Cause(s) Symptoms Prevention/ Photograph Disease Management 3.Infectious IHHNV  Bent rostrum  Proper drying of the Hypodermal  uneven growth & size pond bottom Haematopoietic differences  Stocking SPF Necrosis  Shape of the animal body Quality seed (IHHN) becomes uneven  BMPs and  Broken antennae biosecurity 4. Vibriosis Vibrio sp.  Reddening of the body  Application of (Bacterial  Flared up exoskeleton water probiotics at Scepticemia)  Broken antennae periodic intervals.  Hepatopanchreas size  Adoption of BMPs increases or decreases  White fecal matter  gills become black  Black spots or blisters on the body of the animal  Florescence appearance during the night. 5.Body cramp/ Mineral  Animal body cramp/bends  Periodic monitoring White muscle deficiency/  At the place of cramp the of mineral high diurnal muscle becomes white compositions in the temperature  Juveniles are more pond water. variation susceptible  Maintenance of  Ratio differences between proper ratio of the important minerals essential mineral (Na, K, Ca & Mg) nutrients 6. White fecal Bacteria/  Shrimp gut becomes white  gut probiotics matter Protozoan/ algal  White feaces floating on  Adoption of BMPs toxicity due to water BgA  Hepatopancreas becomes white and accumulation of fat in HP 7. Black gill Poor pond  gills turn to black colour  Adoption of BMPs management and (gill necrosis). and water quality H2S formation  Shrimp comes to the management /Deficiency surface even though DO in Vitamin-C/ is at optimum levels. Fungal infection/  Mortality in severe cases Bacterial infection 24 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming Name of the Cause(s) Symptoms Prevention/ Photograph Disease Management"
86,"8. Brown gill Protozoan –  Presence of  Adoption of BMPs Zoothamnium/ dianoflagellates in the and water quality water with more pond water management Iron content/  gills turn to brown colour Bacterial  Shrimp comes to the infection surface even though DO is at optimum levels  Mortality in the morning  More mortality if DO drops 9. Enterocytozoon  It severely Damage  A systematic pond Microsporidiosis hepatopenaei Hepatopancreas (HP) preparation is very (EHP) (Microsporidian and shrimp gut, causing essential. parasite) severe growth retardation.  PCR screening of the seed for presence of EHP is absolutely essential.  Maintain strict biosecurity to prevent unwanted animals into the farm. 87. What is the reason for white muscle formation in P. vannamei?","How can it be prevented and managed after its outbreak? Any kind of stress, including DO problem can produce white muscle in P. vannamei. The shrimp should be examined further to know the cause and accordingly suggestions should be given. White muscle formation in P. vannamei"
87,88. What are green and yellow colonies of Vibrio and what is the limit in P. vannamei farm?,"green and yellow colonies are based on sucrose fermentation that is present in media. green colonies cannot ferment sucrose. In general, it is thought that green colonies are pathogens. However, yellow colonies can also be pathogens. If the number of colonies is less than 100 per ml, it would be good. green and yellow colonies of Vibrio sp. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 25"
88,"89. What is Early Mortality Syndrome (EMS/AHPND), what are its symptoms?","How to prevent/manage this? In EMS, nearing 100% mortality occurs within 30-40 days of stocking. There will be white gut and HP size will also be very small and when pressed between the fingers, it will feel rubbery. EMS comes through larvae or brood stock. If EMS is already there in an area, it Juvenile P.vannamei from Vietnam. Both can also get transferred through water. Larvae should be tested (both with atrophied Hps indicative of EMS. PCR and stress test) and pond should be well prepared. During infection, feed management should be done very carefully. use of probiotics also helps to a great extent. So far, EMS has not been reported in India. Many other bacterial infections might also have majority of these symptoms."
89,90. What is EHP?,"Will it infect P. vannamei shrimp? If so, what are its symptoms? What measures can be undertaken to prevent/manage the entry and spread of EHP? The full name of EHP is Enterocytozoon hepatopenaei. It is a spore forming unicellular parasite and belongs to a group called microsporidea. EHP is found to infect shrimps and recent survey by ICAR-CIBA confirmed the presence of EHP in the shrimp farms of India. EHP is not characterized by any specific clinical signs. Though EHP does not cause mortality, it severely damages Hepatopancreas (HP) and shrimp gut, causing severe growth retardation. EHP can also get associated with white faeces syndrome, EMS and WSSV etc.The disease is spread through the oral route when shrimps eat infected animals. So far EHP has been detected only from polycheats other than the shrimps. If the brooders are infected this can be transmitted through the larvae.EHP spores are thick and difficult to destroy even with higher chlorine concentration.The best way is to prevent the entry of EHP into the system. The following measures need to be adopted for the prevention of EHP pathogen in to the shrimp farm.  A systematic pond preparation is very essential particularly when the previous crop is infected with EHP. Adequate drying of the pond for 4-5 weeks and apply CaO (lime) @ 6 tons/ha. Plough the pond for the lime to penetrate dip into pond bottom (1 foot or more). Moisten the lime for activation. Leave it for one week.  PCR test is the most suitable and sensitive method for detection of EHP. PCR screening of the seed for presence of EHP is absolutely essential.  Maintain strict biosecurity to prevent unwanted animals into the farm because the range of carriers for EHP is still unknown."
90,91. SPF P. vannamei is free from how many pathogens?,"What are they? It depends from which companies you are getting the SPF and there is no limit to it. Presently a certificate for 7 pathogens is sought from the SPF broodstocks supplier (WSSV, IHHNV, TSV, IMNV, yHV, LSNV and EHP)."
91,92. Is it possible to enhance the immunity of P. vannamei shrimp through use of immune stimulants?,"If yes, suggest what needs to checked in such products? yes. Many of the herbal products and yeast/bacteria derived products can be used for the purpose. CIBASTIM is a bacterial product developed by CIBA and tested widely in farms. 26 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming"
92,93. Is the Running Mortality (RMS) and water quality parameters related?,"If yes, how? RMS starts after 45 days and till about 90 DOC there will be partial mortality in each day. RMS is directly related with ammonia, turbidity and nitrite. Temperature also has an influence on RMS to some extent. Running mortality in P. vannamei"
93,94. How to keep/ preserve an abnormal shrimp for sending the same for analysis/screening?,Keep the animals in alcohol for PCR testing. Live moribund shrimps will be a good sample.
94,95. Is partial harvesting in P. vannamei farming essential?,"If so at what stage it has to be done and what gear should be used? The biomass of the P. vannamei pond after 70 days of stocking is relatively high and maintenance of water quality parameters and feed management are very important. In order to minimize the risk, farmers can do partial harvesting upto 20-30% of the stock using drag net so that the load of the pond gets optimized. At 70 DOC the shrimp could have grown to 12-14 g size and they may fetch good price at the local market and by this, the farmer sometimes might get his break even. Similarly, one more partial Partial harvesting of P. vannamei shrimp harvesting at 90 DOC with 15-18 gm size shrimps again might help in better farm management. This approach may help the farmer to avoid market price crash during the time of final harvest (June-July syndrome). Therefore, partial harvesting of shrimp helps in maintaining the optimum pond carrying capacity and minimizes the risks. regulatIon, Food saFety and reCord keePIng"
95,96. How P. vannamei farming in inland/low saline areas are regulated?,Does this need to be registered? The Govt. of India has notified that farmers who desired to culture P. vannamei outside the jurisdiction of CAA having the water salinity of above
96,"0.5 ppt shall get registered with the Department of Fisheries (DoF) of the state government concerned. The farms should possess all the required infrastructure and biosecurity. The DoF may constitute a separate district level committee to inspect and give registration to the farms within a reasonable time frame of 60 days and other guidelines are same as that of brackishwater area. However, farms within the jurisdiction of CAA (up to 2 km from the high tide line) should get registered with the CAA only. 97. What is crop holiday?","How it help? As such, does a shrimp pond require a holiday once in few/some years even otherwise also? Leaving the shrimp pond without culture for a specified period is called crop holiday. It is generally declared whenever new emerging diseases appear on a large scale. It also helps in total eradication of pathogens or their hosts present in the pond sediments. Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 27"
97,98. What are periphyton and its significance in P. vannamei farming?,"use of submerged substrates like agriculture shade nets or dry wooden planks, which serve for the promotion of growth of mixed microalgae-bacteria mats (Periphyton). The Periphyton utilizes the dissolved waste products within the culture system by autotrophic bacteria and algae or through direct heterotrophic conversion of organic and inorganic nitrogen species into microbial P. vannamei pond with periphyton net biomass which improves water quality and at the same time, the microbial biomass becomes an important direct or indirect source of natural feed for the farmed organisms."
98,99. What are the responsibilities and do’s and don’ts of a P. vannamei farmer?,Farmers should get registration from the CAA/DoF for the culture of P. vannamei. The farms should have adequate biosecurity measures and infrastructure to culture P. vannamei shrimp. Farmers should procure seed from the registered hatchery after screening for pathogens and restrict the stocking density as per the CAA guidelines. The farmer should adopt better management practices of farming and send the periodical reports to the CAA. Farmers should not carry out farming without registration and should not procure seed from a non-registered hatchery.
99,"100. When or at what level of intensification, plastic lining of P. vannamei pond is necessary?","What are its advantages? Plastic lining of P. vannamei shrimp ponds is necessary in case of super intensive systems with very high stocking density of 250-300 PL/m2 with biofloc technology and other high energy inputs. Also, pond lining can be done if a farmer wants to culture three or more crops in a year and the bottom lining can be cleaned using pressure pumps before starting the next culture. It helps in preventing soil erosion of bunds/dykes due to the use of more aerators continuously. Nevertheless, CAA has permitted a stocking Plastic lining of P. vannamei pond density to the maximum of 60 PL/m2 and for this, density lining is not required. However, farmers may use lining for dykes to prevent erosion."
100,101. What are the food safety measures a farmer needs to adopt in P. vannamei farming?,"Cleanliness and hygiene of farm workers and basic amenities for them are essential. Wild/pet animals should not be allowed entry into the farm. Chill killing of shrimp immediately after harvest and proper handling of harvested shrimp are required to maintain the quality. Farmed shrimp should be free from antibiotics, banned feed additives and should not have any discoloration or bad odor. Poor handling of harvested shrimp 28 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming"
101,102. What are all the aspects that need to be recorded for record keeping?,"Is it mandatory for marketing? Record keeping is a good practice to record all the operations pond wise, quantity of inputs applied at each stage, seed stocking density, feeding - schedule, quantity, timing, sampling details, ABW, probiotics and minerals applied, water quality measurements and their reports which are very essential to take appropriate decisions as and when required. Record keeping is one of the BMPs and it Record keeping is essential for certification of farmed shrimps."
102,103. What is P. vannamei and what are the main advantages over P. monodon?,"White legged shrimp P. vannamei is the native species of pacific coast of Mexico, Central and South America and presently it is the most widely cultured shrimp species worldwide. The supremacy of P. vannamei vis-à-vis other species is mainly due to the availability of Specific Pathogen Free (SPF) stocks, amenable for higher stocking density and culture in varying salinities. The comparative advantages of P. vannamei vis-à-vis P.monodon is given in the Table. Sl.No Characteristics Tiger shrimp White shrimp (P.monodon) (P. vannamei) 1 Specific Pathogen Free (SPF) Not available Available broodstocks 2 Capacity to tolerate wide range yes yes of salinities 3 Capacity Low temperature No yes. It can tolerate low temperature up to 15°C 4 Protein requirement in the feed High (> 40%) Low (30-35%) 5 Amenable stocking density"
103,"1.0 – 1.5 Lakh/ha Permitted up to 6.0 Lakh/ha per ha 6 Larval survival at hatchery Low (< 40%) High 60-70%) 7 growth rate 1.5 – 2.0 gm per week 1.5 – 2.0 gm per week 8 Average Productivity Low (1.5-2.0 tonnes/ha) High (5-6 tonnes/ha) 9 Culture pond depth 1 meter 1.5 to 2.0 meter 10 Infrastructure requirement Relatively Low High (Aerators, 24x7 electricity, generator back up etc.) 104. Is it necessary to take CAA registration for starting the P. vannamei farming?",yes. The farmers interested to farm P. vannamei need to avail an exclusive registration even though they have already availed Coastal Aquaculture Authority (CAA) registration for the farming of tiger shrimp (P. monodon). Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming 29
104,105. What is the procedure for obtaining license for P. vannamei farming?,"Farmers who have already have a CAA registration for tiger shrimp farming should send a request letter along with copy of the earlier registration to the CAA. In case of small farms up to 2 ha, the CAA would send this request to the concerned District Level Committee (DLC) of the Department of Fisheries (DoF) of the concerned State for inspection of the facility for the infrastructure and biosecurity requirements. Based on the recommendations of the DLC and SLC (State Level Committee) the registration for farming of P. vannamei will be issued to the concerned farmer."
105,106. Is it possible to do P. vannamei culture along with other indigenous shrimp species as mixed culture?,No. As per the CAA regulations/guidelines mixed culture of P. vannamei with other shrimp species is not permitted.
106,"107. Is it possible to do P. vannamei culture in the tide fed traditional ponds, Pokkali fields, etc., As per the CAA farming of P. vannamei shrimp require strict biosecurity measures like disinfection of source water, filtrations, fencing (crab,men,bird) and disinfection protocol for labour and implements. Considering the limitations with the tide fed ponds and pokkali fields it is not possible to take up P. vannamei farming. 108. Which is the ideal season for P. vannamei Culture?",Shrimp farming is being carried out in two seasons in India. The first season is between February/March to June/July. The second season is between August/September to November/ December.
107,109. From where we can source P. vannamei seeds?,The CAA has permitted 180 shrimp hatcheries for import of SPF broodstock and seed production and supply of P. vannamei. This list is available in the website of CAA (www.caa. gov.in) and shrimp farmers should procure seeds only from the registered hatcheries following due quality screening procedures.
108,"110. Is it possible to do P. vannamei culture in fresh water resources such as artificial ponds, tanks, etc?","What is the package of practice for culture in fresh water systems? P. vannamei shrimp is tolerant to low salinities but the rearing water should have a salinity of more than 0.5 ppt. The Govt. of India has notified that farmers who desired to culture P. vannamei outside the jurisdiction of CAA having the water salinity of above 0.5 ppt shall get registered with the Department of Fisheries (DoF) of the state government concerned. The farms should possess all the required infrastructure and biosecurity. The DoF may constitute a separate district level committee to inspect and give registration to the farms within a reasonable time frame of 60 days and other guidelines are same as that of brackishwater area. 30 Frequently Asked Questions (FAQs) Pertaining to Penaeus vannamei Shrimp Farming P. vannamei farming in Low saline waters requires two critical practices to be adopted as below and remaining practices are more or less same as that of brackishwater.  Acclimatization of shrimp seed to the pond conditions should be done gradually not suddenly. It is better to stock larger PL (above 15 PL) which has the capacity to acclimatize to low saline waters.  The mineral composition of the rearing water should be maintained at an optimal level throughout the culture period. P. vannamei shrimp requires essential minerals viz., calcium, magnesium and potassium in the ratio of 1:3:"
109,1. The minimum requirement of calcium is 150- 200 ppm. In 1 ppt salinity the required level of essential minerals should be @ calcium-11.6 mg/L; magnesium-39 mg/L and potassium-10.7 mg/L. According to the pond salinity this value can be multiplied and the required level of minerals in proportion should be maintained always for the better survival and growth of P. vannamei shrimps. 111. Is it possible to insure P. vannamei culture farms?,"What is the procedure for insuring the P. vannamei culture farms? An insurance scheme for shrimp culture is available with the National Insurance Companies of India. However, crop insurance is not popular among shrimp farmers due to the following reasons.  Insurance companies are reluctant to insure shrimp farms for disease outbreaks.  They take in to account only the inputs costs not the actual biomass exist during the mishap.  The premium is relatively high."
110,112. Is there any government schemes or subsidies exist for doing P. vannamei culture?,"The Marine Products Export Development Authority (MPEDA; www.mpeda.com), The National Fisheries Development Board (NFDB; www.nfdb.gov.in) and the DoFs of respective states do have shrimp farming development schemes for construction of new ponds, renovation of existing ponds, one time first-year inputs for fish/prawn culture and farm infrastructure development etc."
